,Unnamed: 0,date,text,likes
10,10,12/11/14,"Shares of Lending Club Corp surged 56% from their initial public offering price Thursday--a strong debut for the first publicly traded peer-to-peer lending company.</br></br>That first-day pop left Lending Club at a valuation more in line with high-tech firms than the banks and other financial companies it is seeking to displace.</br></br>58 million shares for $15 apiece, above the $12 to $14 a share range that was outlined in a filing with regulators.</br></br>Thursday morning, more than 100 employees, directors, investors and other guests cheered on the floor of the New York Stock Exchange as shares opened at $24.75. The stock quickly rose to a high of $25.44 and later closed at $23.43.</br></br>In the crowd, all wearing matching red jackets, were founder and Chief Executive Renaud Laplanche and Morgan Stanley's former chief executive, John Mack, who is on Lending Club's board.",397.0
11,11,12/11/14,"WASHINGTON--Prices of imported goods posted their biggest drop in nearly 21Ü2 years in November, more evidence that falling oil prices, slow growth abroad and a strong dollar are holding down inflation in the U.S.</br></br>Import prices fell 1.5% from October, the said Thursday. Compared to one year earlier, prices were down 2.3%, the biggest year-over year drop since the spring of 2013.</br></br>The cost of overseas goods has been falling since July alongside a steady decline in oil prices. . Prices are down more than 40% since June.</br></br>But the price of other goods also is falling, potentially pushing key inflation gauges lower and complicating the Federal Reserve's plans to raise interest rates as the labor market improves and the overall economy shows signs of steadier growth.</br></br>Thursday's report said petroleum import prices fell 6.9% in November from the previous month and were down 12.3% on the year. Excluding petroleum, import prices declined 0.3% from the previous month and are up only 0.1% from a year earlier.",905.0
12,12,12/6/14,"U.S. businesses ramped up hiring across the board in November, putting 2014 on pace to be the best year for job growth since 1999.</br></br>Nonfarm employers added a seasonally adjusted 321,000 jobs in November, the most in one month since January 2012, . Payroll gains in October and September were revised higher as well. The unemployment rate stood at 5.8%, unchanged from October but down from 7% in November 2013.</br></br>Friday's report also showed nascent signs that wage growth, which has been slow during the recovery, is accelerating. If sustained, that could lift incomes and bolster consumer spending during the holidays.</br></br>""This is another sign that says we're taking off,"" said Beth Ann Bovino, chief U.S. economist at Standard & Poor's Ratings Services.</br></br>The labor market's improving health could help cushion the U.S. from a deepening slowdown in other parts of the global economy. Continued strong job gains also would bring forward the day when the Federal Reserve starts raising short-term interest rates, which have been near zero for six years during the financial crisis, recession and slow recovery.",1331.0
13,13,12/3/14,"Benchmark Treasury bonds were flat on Wednesday as the faster pace of expansion in the U.S. service sector was offset by disappointing jobs growth in the private sector.</br></br>In late afternoon trading, the benchmark 10-year note was flat, yielding 2.285%.</br></br>The yield was 3% at the start of January. Yields fall as prices rise.</br></br>The monthly gauge of the service sector from the Institute for Supply Management rose to 59.3 last month, the latest signal the U.S. economy has gained traction.</br></br>The upbeat report sent prices of shorter-dated notes lower as it bolstered expectations the Federal Reserve will start raising interest rates sometime next year.",717.0
14,14,12/2/14,"Good morning from D.C.,</br></br>CEO Council: Day One</br></br>I'm here at our annual meeting of top global chief executives to talk about the political and economic priorities that will shape our near future. Yesterday who told us he is nearing a decision on whether to run for president. The former governor of Florida laid out a blueprint that could serve as the underpinnings of a 2016 campaign platform, in which he called for a new energy policy, an ""economically driven"" overhaul of the immigration system, and a ""radical transformation'' of the education system, among other reforms. Earlier, I interviewed International Monetary Fund Managing Director the state of the global economy and ways to boost growth. Falling oil prices, she said, will be a net positive for a world struggling with slowing growth. other potential 2016 contenders, experts and policy makers, including Stanley Fischer, vice chairman of the Federal Reserve, incoming Senate Majority Leader Mitch McConnell and National Security Adviser Susan Rice. For the latest updates on the conference, please and be sure to coverage.</br></br>Antisocial Media</br></br>When does a social-media post become a criminal threat? The yesterday. We analyze its role in a case involving a Pennsylvania man's conviction following comments he made on Facebook about harming his estranged wife and others. The case, we note, pits law-enforcement and victims' rights groups against free-speech advocates and could affect how freely individuals can speak online and in traditional forums. The argument yesterday featured discussions between the justices and lawyers about violent rap music and tweets about the turmoil in Ferguson, Mo. A lawyer for the convicted man said prosecutors should have to show that someone accused of making threats intended to put the listener in fear, while justices questioned how prosecutors could prove what was in someone's mind and whether it would make sense to try. A ruling is expected by the end of June.",295.0
15,15,11/28/14,"OTTAWA--Canadian economic growth slowed in the third quarter from the second, but beat market expectations and the central bank's forecast by a wide margin, led by exports and household spending.</br></br>The positive surprise suggested Canada is reaping some benefits from improved U.S. demand and a weaker currency. However, a sharp drop in the price of oil--one of Canada's biggest exports--hovers over the economy as a wild card that could weigh on growth. Economic weakness in Europe and Japan and a slowdown in China could also reinforce the Bank of Canada's view that ultra-low interest rates are required for the foreseeable future.</br></br>Canada's gross domestic product expanded 2.8% on an annualized basis in the third quarter, Statistics Canada said Friday. Market expectations were for 2.1% growth, according to a report from Royal Bank of Canada. The Bank of Canada had forecast a 2.3% advance for the third quarter.</br></br>The report was solid, and the gain didn't rely on a big buildup in inventories. But the oil-price drop marks a new, unexpected headwind for Canada in the coming months, BMO Capital Markets said in a note to clients.</br></br>The ""bounty of good news is almost precisely countered by the coming hit to incomes, government revenues, consumer prices and growth from sagging crude prices, which is a net negative for Canada overall. The good news is that the economy was in a surprisingly very good place heading into the energy price storm,"" said Douglas Porter, BMO's chief economist.",836.0
16,16,11/28/14,"I'm often asked, especially as the holiday gift-giving season approaches, which books I recommend for investors.</br></br>I haven't kept exact count, of course, but over the past quarter-century I have surely read (or tried to read) a couple thousand books on investing. Nearly all of them were a tragic waste of good trees. Most of which weren't worth reading even a few pages.</br></br>So I feel strongly that the usual article on ""best investing books"" has way too many entries and ends up suggesting good books you might read, rather than recommending great books you must read.</br></br>Here's a list that I would still be comfortable with decades from now. Every book below has stood the test of time and, I'm confident, will remain useful for generations to come. You will quickly note that some aren't even about investing. But they all will help teach you how to think more clearly, which is the only way to become a wiser and better investor. I've listed them alphabetically by author.</br></br>Why Smart People Make Big Money Mistakes and How to Correct Them, by Gary Belsky and Thomas Gilovich",382.0
17,17,11/25/14,"WASHINGTON--U.S. regulators said Wells Fargo & Co. has convinced them that the financial system could avoid serious damage if the bank were to ever collapse, giving it a passing grade that ratchets up the pressure on other big banks slammed for producing unrealistic bankruptcy plans a few months ago.</br></br>The San Francisco-based lender graded better than its peers Tuesday on its plan for a theoretical bankruptcy, but it still doesn't have the top score regulators would like to see.</br></br>The bank declined to comment.</br></br>The Federal Reserve and Federal Deposit Insurance Corp. said a hypothetical bankruptcy plan submitted by Wells Fargo ""provides a basis for a resolution strategy that could facilitate an orderly resolution under bankruptcy"" but said the blueprint still had some shortcomings that must be addressed when the bank files a revised plan in 2015. The agencies didn't specify the shortcomings. ""Resolution"" is shorthand for the process of unwinding a failing firm.</br></br>The results are the latest indication that regulators favor simplicity. Though it is one of the largest bank holding companies in the U.S. by assets, Wells Fargo has a simpler structure than other conglomerate financial firms. Compared to peers like J.P. Morgan Chase & Co., Wells Fargo has a relatively small broker-dealer business and a relatively small international footprint. Much of its operations take place in its FDIC-insured banking subsidiary.",311.0
18,18,11/25/14,"The Federal Reserve, the Federal Deposit Insurance Corp. and the Office of the Comptroller of the Currency recently released their 2014 report card on leveraged lending by U.S. banks. Not surprisingly, federal regulators believe they can tell a good loan from a bad loan better than the institutional loan market populated by the world's most sophisticated investors.</br></br>From the report's executive summary: ""In many cases, examiners questioned the borrower capacity to repay newly underwritten loans if economic conditions deteriorated or if interest rates rose to historical norms."" Henceforth, the ""frequency of reviews"" will increase to ""ensure risks are well understood and well controlled.""</br></br>Regulated banks are being told in no uncertain terms to stop arranging loans for the more risky, more leveraged borrowers, even though those loans are the most profitable and are quickly sold to investors -- typically hedge funds, mutual funds and publicly owned vehicles like business development companies -- not held by the banks, and so do not utilize FDIC insured deposits. Yet despite the healthy investor appetite, the federal banking regulators want the banks to rein in these profitable loans.</br></br>Why are the regulators doing this? It can't be because of ""systemic risk,"" ""too big to fail"" or any of the other catchphrase risks touted by those looking to justify punishing big banks for the alleged sins of the past.</br></br>The regulators made it clear in their report that they want the banks to stop arranging these loans even if there is zero risk the banks will end up holding the loans. In essence, the regulators are making the banks the gatekeepers for leverage in corporate America.",2143.0
19,19,11/24/14,"WASHINGTON--The headlines in the long-running trial over the bailout of American International Group Inc. have been dominated by three heavy hitters who testified--and one who didn't.</br></br>But as testimony likely wraps up Monday after eight weeks, legal observers said two low-profile witnesses from early in the proceedings addressed what may be the key question: whether the government correctly interpreted a 1930s-era section of the Federal Reserve Act to allow it to acquire a sizable equity stake in AIG to help compensate taxpayers.</br></br>That issue stands out as one that former longtime AIG Chief Executive Maurice R. ""Hank"" Greenberg has the best chance of winning, said attorneys and legal scholars.</br></br>The lawsuit is at its strongest as ""a test of the scope of a government agency's authority: Did it do things it was authorized to do by law, or did it exceed those boundaries?"" said Anthony Sabino, a professor of law at St. John's University. ""The government is vulnerable on that argument.""</br></br>The nearly two months of testimony in the U.S. Court of Federal Claims delivered few bombshells.",1799.0
20,20,11/23/14,"The divergent policy paths taken by the world's advanced economies provide lessons for global leaders navigating difficult post-crisis environments.</br></br>The U.S. and U.K. appear to have gotten something right, while the eurozone and Japan have fumbled. Unemployment rates after the crisis peaked at 10% in the U.S. and 8.5% in the U.K., and are down to 5.8% and 6%, respectively. The eurozone rate has climbed in the past few years to 11.5%, while Japan's economy has fallen back into recession.</br></br>The American and British central banks embraced aggressive easy-money policies early on. Japan lurched toward consumption-tax increases to restrain budget deficits, while Europe moved slowly in addressing weaknesses in banks and stuck to a course of fiscal austerity.</br></br>Here are three lessons from this inadvertent experiment in post-crisis policy-making:</br></br>Quantitative easing helps address a long-standing economic riddle. What can central banks do to help the economy after short-term rates hit the ""zero lower bound?"" When rates are near zero, central banks lose a tool typically employed when the economy is weak: short-term interest-rate cuts. Rate cuts spur borrowing, spending and investment, helping to smooth out the economic cycle by bringing forward activity from a more optimistic future during depressed times.",3945.0
21,21,11/20/14,"For America's 44 million senior citizens, plus tens of millions of others who are on the threshold of retirement, last month marked a watershed moment that is worth celebrating. At the end of October, the Federal Reserve announced the first step in returning to a more normal monetary policy. After nearly six years of near-zero interest rates and quantitative easing, the Fed is ending its bond-buying program and has signaled a plan to eventually begin raising the federal-funds rate, raising interest rates to more normal levels by 2017.</br></br>U.S. households lost billions in interest income during the Fed's near-zero interest rate experiment. Because they are often reliant on income from savings, seniors were hit the hardest. Households headed by seniors 65-74 years old lost on average $1,900 in annual income over the past six years, according to a November 2013 McKinsey Global Institute report. For households headed by seniors 75 and older, the loss was $2,700 annually.</br></br>With a median income for senior households in the U.S. of roughly $25,000, these are significant losses. In total, according to my company's calculations, approximately $58 billion in annual income has been lost by America's seniors since 2008.</br></br>Retirees depend on income from their savings for basic living expenses. Without that income, many seniors have taken on greater risk to increase the potential yield on their savings, or simply spent down their nest eggs. After decades of playing by the rules, putting off spending and socking away money, seniors have taken it on the chin. This strikes a blow at the core American principles of self-reliance, individual responsibility and fairness.</br></br>Their lost income affects all Americans. Seniors make up 13% of the U.S. population and spend about $1.2 trillion annually -- a big chunk of America's $11.5 trillion consumer economy. In general, seniors spend more than their income, withdrawing each year from accumulated savings, and so their interest earnings get spent right back into the economy.",43.0
22,22,11/20/14,"More than usual, iron-ore miners are in a hole. And the Australian dollar hasn't thrown down a rope.</br></br>Benchmark iron-ore prices are now $70 a metric ton, down nearly 50% this year. The largest miners of the steel-making commodity, with the lowest costs, have ramped up supply even as demand from China has waned. Iron ore accounted for about 40% of earnings before interest, tax, depreciation and amortization at Anglo-Australian miner BHP Billiton in the first six months of the year; at peer Rio Tinto, that figure was nearly 80%.</br></br>Usually, lower prices for Australia's key commodities would go hand in hand with a weaker currency, easing the pain for producers there. The biggest miners price their output and report earnings in U.S. dollars, but their costs for labor, transport and services are denominated in local currency. So a weaker Aussie dollar can effectively reduce costs in U.S.-dollar terms at mines there.</br></br>That hasn't happened this time. The average price of iron ore in the first half of this year was about $110, according to the Steel Index. So far in the second half, it is $86, down about 23%. And while Australia's currency has fallen since early September, on average it has barely budged: Just like in the first half of 2014, one Australian dollar has been worth, on average, US$0.91.</br></br>That makes iron ore's tumble all the tougher. Take Rio Tinto. The miner said in August that a 10% decline in the average iron-ore price would knock about US$1.2 billion off 2014's underlying earnings. But a 10% drop in the Australian dollar would add back about $500 million, mitigating the impact.",143.0
23,23,11/20/14,"Activity in the eurozone's private sector slowed in November, according to surveys of purchasing managers, an indication the currency area's economy will continue to grow weakly, if at all, in the final quarter of the year.</br></br>The surveys also found that businesses again cut their prices in the face of weak demand, a development that will concern the European Central Bank, which is struggling to raise the currency area's inflation rate from the very low level it has settled at for more than a year.</br></br>Data firm Markit on Thursday said its composite purchasing managers index--a measure of activity in the manufacturing and services sectors in the currency bloc--fell to 51.4 from 52.1 in October, reaching a 16-month low. A reading below 50.0 indicates activity is declining, while a reading above that level indicates it is increasing.</br></br>Preliminary results from Markit's survey of 5,000 manufacturers and service providers also showed that a significant pickup in activity is unlikely in the coming months, with new orders falling for the first time since July 2013, while employment was unchanged.</br></br>The surveys also found that businesses continued to cut their prices, although at a slightly less aggressive pace.",230.0
24,24,11/19/14,"WASHINGTON--Market regulators approved a new rule putting in place more stringent safeguards and oversight for computer trading on U.S. stock and options markets.</br></br>The rule, proposed in March 2013, is a response to the dramatic increase in computerized trading in recent years and the ensuing glitches that have plagued markets and harmed investor confidence.</br></br>From the ""flash crash"" of May 6, 2010, to the breakdown in trading on the Nasdaq Stock Market in August 2013, technology failures have become increasingly common, raising concerns about the potential for broader market failures and systemic risk.</br></br>On Wednesday, the five-member Securities and Exchange Commission unanimously approved the rule, called Regulation Systems Compliance and Integrity, or Reg SCI, which will require stock and options exchanges, clearinghouses and certain other trading venues to implement procedures to safeguard computer trading systems. The rule will require so-called SCI entities to immediately notify the SEC about any major computer glitches and submit annual reports detailing how they are complying with its requirements.</br></br>""The number and significance of technology-related incidents have grown as our securities markets have attained unprecedented levels of automation, demonstrating the need for stronger, mandatory rules that reflect current market reality,"" SEC Chairman Mary Jo White said at the agency's open meeting.",734.0
25,25,11/14/14,"U.S. Treasury bonds rose on Friday as fresh signs of tame inflation bolstered investors' confidence that the Federal Reserve isn't in a hurry to raise interest rates.</br></br>In late afternoon trading, the benchmark 10-year note was 7/32 higher, yielding 2.320%. Yields fall as prices rise.</br></br>The yield was little changed compared with 2.314% at the end of last week. It was 3% at the start of the year.</br></br>Long-term inflation expectations fell to the lowest level since 2009, according to the Thomson-Reuters/University of Michigan November consumer sentiment survey released Friday. Meanwhile, a report from the Labor Department showed prices of imported goods fell 1.3% in October, the largest monthly decline in more than two years.</br></br>Inflation chips away investors' fixed returns on bonds over time and is the main threat to long-dated bonds. Low inflation makes bonds more attractive to investors.",373.0
26,26,11/12/14,"Borrowing for U.S. colleges declined for the third year in a row as the federal government clamped down on for-profit schools and families became more cost-conscious.</br></br>Federal and private-loan lending totaled $106 billion for the 2013-14 academic year, down 8% from the prior year, according to a report to be released Thursday by the nonprofit College Board. The decline marks a significant reversal in borrowing, which peaked at $122.1 billion in 2010-11 after rising for years.</br></br>The drop is partly due to a decline in enrollment at for-profit colleges, where most students borrow and where default rates are generally higher. The schools have come under increased scrutiny since 2010, when a report by the Government Accountability Office found deceptive practices that ranged from promising unrealistically high pay for graduating students to not disclosing total tuition costs for students before they enrolled.</br></br>At traditional colleges, families have been cutting back on expenses, experts say. A growing share of students are commuting from home rather than living on campus, for example, according to a report issued earlier this year by SLM Corp., the largest private student lender, also known as Sallie Mae.</br></br>An improving economy and stock market are also likely contributing to families borrowing less, says Mark Kantrowitz, senior vice president at Edvisors.com, a Las Vegas-based firm that tracks financial aid and student loans. As the unemployment rate has declined and the stock market has improved, parents have been able to access more cash than during the downturn, he says.",678.0
27,27,11/12/14,"Early gains in U.S. Treasurys evaporated Wednesday as investors balanced choppy growth signals abroad with the economic progress being made at home.</br></br>In late afternoon trading, benchmark 10-year notes were unchanged in price to yield 2.359%. The 30-year bond erased gains to trade flat, yielding 3.094%. Bond yields decline when prices rise.</br></br>The sideways drift kept the market in the tight range it has established since the start of the month. Bond investors have faced dueling forces of decent U.S. economic signals and uncertainties abroad, leaving the 10-year yield in a 2.27% to 2.40% range.</br></br>While some bond analysts say U.S. economic conditions and the end of the Federal Reserve's active bond purchases would typically warrant higher yields, offsetting policies overseas are capping global bond yields, including those on U.S. Treasurys.</br></br>The European Central Bank ""is helping the dollar and dollar-denominated securities by pledging to keep pushing their rates down to a level that stimulates the economies of the eurozone,"" said Kevin Giddis, head of fixed-income capital markets at Raymond James. ""With inflation as a current nonfactor, investors will likely continue to add Treasurys to their portfolios.""",668.0
28,28,11/4/14,"DENVER--For much of his tenure as Colorado's governor, John Hickenlooper tried to straddle the divide between urban and rural political factions in a state where the middle seemed safest.</br></br>But Mr. Hickenlooper's centrism is being put to the test this year, and the first-term Democrat has struggled to fend off an unheralded Republican challenger in an unexpectedly tight re-election battle here.</br></br>Polls show Mr. Hickenlooper essentially tied with former GOP Congressman Bob Beauprez, who lost a previous campaign for governor in 2006 and initially wasn't viewed as a big threat to Mr. Hickenlooper.</br></br>Political experts say a confluence of factors have hurt Mr. Hickenlooper, a former Denver mayor who easily won the governorship in 2010 with 51% of the vote. He has faced general discontent with Democratic incumbents nationally, and he lost credibility with some Colorado voters after his attempts to tack to the center angered some on both sides of the political spectrum.</br></br>After Mr. Hickenlooper signed a series of gun-control laws passed by the Democratic-controlled legislature in 2013--laws that upset many rural voters--he apologized in June to a group of sheriffs that had opposed the laws, saying he didn't realize they would be so divisive. His remarks caught both Democrats and Republicans off guard, and further inflamed the situation.",3162.0
29,29,11/1/14,"BRUSSELS -- Anheuser-Busch InBev said weakness in the U.S., Russia and Ukraine weighed on its third-quarter sales volumes, but cost cuts and strong demand elsewhere boosted profit for the world's largest brewer.</br></br>AB InBev, whose dozens of brands include Budweiser, Stella Artois and Corona, reported on Friday a profit of 2.32 billion euros ($2.93 billion), up from 2.21 billion euros a year earlier. Sales volumes fell 2.6%.</br></br>A closely watched profit measure -- earnings before interest, taxes, depreciation and amortisation adjusted for one-time items -- grew only 1.3%. That is a marked slowdown, but the brewer said the result is ""not reflective of expected future trends for the business.""</br></br>The U.S., AB InBev's largest market, continued to be a soft spot, with sales volumes off 3.7% and revenue down 2.6%.</br></br>The brewer has been working, unsuccessfully so far, to reverse market-share losses for its flagship Budweiser brand in the U.S.",2776.0
30,30,10/30/14,"Treasury prices gained Thursday as investors kept their optimism about the U.S. economy in check despite a solid headline reading on last quarter's growth.</br></br>In late-afternoon trading, benchmark 10-year notes gained 6/32 in price to yield 2.305%. Two-year notes rose a fraction to yield 0.481%. Bond yields decline when prices rise.</br></br>Those gains came despite the U.S. reporting that gross domestic product grew 3.5% in the third quarter, surpassing expectations. Investors felt details to the report were less rosy, with typically volatile spending on defense boosting the reading, while the price index continued to show a lack of inflation.</br></br>""The internal mix of the GDP report was not as good as the headline suggests,"" said Andres de Lasa, a government bond trader at Pierpont Securities, adding that prices are reverting a bit higher after Wednesday's decline.</br></br>Mr. De Lasa said last session's declines came as investors placed new bets against Treasurys, particularly around the two- and five-year maturities, after a policy statement by the Federal Reserve showed increased optimism about the U.S. economy. While the central bank maintained that it will wait a ""considerable time"" before raising rates, for investors, the latest statement moves policy one step closer to tightening.",464.0
31,31,10/28/14,"STOCKHOLM--Sweden's central bank cut its main interest rate to zero after similar attempts to boost inflation by central banks in the U.S., Japan and other parts of Europe, prompting the Swedish krona to sink to a four-year low against the euro and dollar.</br></br>The surprise move by the Riksbank on Tuesday underscores the challenge for smaller neighbors of the eurozone in grappling with weak inflation. The European Central Bank's moves to bolster anemic prices in the currency bloc have caused currencies such as the krona to strengthen against the euro, which in turn, has weighed on import prices in Sweden and elsewhere in the region.</br></br>With interest rates now at zero, some analysts think the Riksbank may eventually have to opt for more aggressive monetary policy tools--including a Swiss-style currency floor--to weaken the krona and bolster price growth.</br></br>The Riksbank lowered its main repurchase, or repo, rate from the previous level of 0.25%. The cut was larger than expected, with analysts polled by The Wall Street Journal forecasting a reduction to 0.05%.</br></br>Sweden last cut borrowing costs in July in a bid to boost inflation, which has been stuck around zero for most of this year--well below the 2% inflation target set for the central bank by lawmakers.",7026.0
